tt0114852 {'critics_score': 30, 'audience_score': 35} 
tt0112757 {'critics_score': 45, 'audience_score': 79} 
tt0110443 {'critics_score': 27, 'audience_score': 69} 
tt0113360 {'critics_score': 9, 'audience_score': 46} 
tt0112508 {'critics_score': 45, 'audience_score': 79} 
tt0114608 {'critics_score': 32, 'audience_score': 63} 
tt0110216 {'critics_score': 32, 'audience_score': 28} 
tt0110939 {'critics_score': 19, 'audience_score': 52} 
tt0110997 {'critics_score': 55, 'audience_score': 49} 
tt0110366 {'critics_score': 27, 'audience_score': 70} 
tt0111143 {'critics_score': 34, 'audience_score': 39} 
tt0109493 {'critics_score': 17, 'audience_score': 60} 
tt0109813 {'critics_score': 22, 'audience_score': 35} 
tt0109504 {'critics_score': 76, 'audience_score': 86} 
tt0110771 {'critics_score': 88, 'audience_score': 56} 
tt0110950 {'critics_score': 65, 'audience_score': 72} 
tt0109890 {'critics_score': 33, 'audience_score': 27} 
tt0106375 {'critics_score': 27, 'audience_score': 35} 
tt0107207 {'critics_score': 95, 'audience_score': 92} 
tt0108052 {'critics_score': 97, 'audience_score': 96} 
tt0108526 {'critics_score': 33, 'audience_score': 53} 
tt0106519 {'critics_score': 78, 'audience_score': 88} 
tt0107076 {'critics_score': 50, 'audience_score': 50} 
tt0107091 {'critics_score': 55, 'audience_score': 71} 
tt0107290 {'critics_score': 92, 'audience_score': 83} 
tt0106770 {'critics_score': 83, 'audience_score': 75} 
tt0106613 {'critics_score': 17, 'audience_score': 34} 
tt0106500 {'critics_score': 52, 'audience_score': 58} 
tt0107473 {'critics_score': 78, 'audience_score': 41} 
tt0107529 {'critics_score': 92, 'audience_score': 55} 
tt0104756 {'critics_score': 94, 'audience_score': 76} 
tt0105636 {'critics_score': 68, 'audience_score': 47} 
tt0105323 {'critics_score': 88, 'audience_score': 90} 
tt0106308 {'critics_score': 71, 'audience_score': 85} 
tt0104926 {'critics_score': 13, 'audience_score': 37} 
tt0105187 {'critics_score': 62, 'audience_score': 46} 
tt0105435 {'critics_score': 81, 'audience_score': 76} 
tt0104070 {'critics_score': -1, 'audience_score': 67} 
